S000001|admin|系统管理员|1767449741007|1767449827100|793.00|61|805.00|63|12.00|2||0.00|0.00|0.00|0.00
S000001|admin|系统管理员|1767449741007|1767449827100|793.00|61|805.00|63|12.00|2||0.00|0.00|0.00|0.00
S000003|user1|收银员1|1767449842564|1767450140982|805.00|63|829.00|66|24.00|3||0.00|0.00|0.00|0.00
S000003|user1|收银员1|1767449842564|1767450140982|805.00|63|829.00|66|24.00|3||0.00|0.00|0.00|0.00
S000005|admin|系统管理员|1767450233141|1767450493494|829.00|66|829.00|66|0.00|0||0.00|0.00|0.00|0.00
S000005|admin|系统管理员|1767450233141|1767450493494|829.00|66|829.00|66|0.00|0||0.00|0.00|0.00|0.00
S000007|admin|系统管理员|1767450527201|1767450586883|829.00|66|835.00|67|6.00|1||0.00|0.00|0.00|0.00
S000007|admin|系统管理员|1767450527201|1767450586883|829.00|66|835.00|67|6.00|1||0.00|0.00|0.00|0.00
S000009|admin|系统管理员|1767451680686|1767451831314|835.00|67|877.00|70|42.00|3||9.00|24.00|9.00|0.00
S000009|admin|系统管理员|1767451680686|1767451831314|835.00|67|877.00|70|42.00|3||9.00|24.00|9.00|0.00
S000011|admin|系统管理员|1767451848702|1767451893395|877.00|70|952.00|71|75.00|1||0.00|75.00|0.00|0.00
S000011|admin|系统管理员|1767451848702|1767451893395|877.00|70|952.00|71|75.00|1||0.00|75.00|0.00|0.00
S000013|admin|系统管理员|1767692691634|1768628032106|952.00|71|308.03|29|-643.97|-42||168.53|107.50|16.00|16.00
SHIFT20260117133417|admin|系统管理员|1768628057989|1768628105012|1260.03|100|57.00|4|-1203.03|-96||10.00|20.00|27.00|0.00
SHIFT20260117133608|admin|系统管理员|1768628168056|1768628203709|1317.03|104|16.00|3|-1301.03|-101||3.00|13.00|0.00|0.00
SHIFT20260117143236|admin|系统管理员|1768631556366|1768631576495|1333.03|107|1342.03|108|9.00|1||9.00|0.00|0.00|0.00
SHIFT20260117143425|admin|系统管理员|1768631665306|1768631840548|1342.03|108|1497.03|112|155.00|4||29.00|98.00|28.00|0.00
SHIFT20260117144008|admin|系统管理员|1768632008137|1768633489036|1497.03|112|1578.03|118|81.00|6||63.00|0.00|0.00|18.00
SHIFT20260127211616|admin|系统管理员|1769519776981|1769519874634|1578.03|118|1625.03|123|47.00|5||8.00|28.00|11.00|0.00
SHIFT20260201213343|admin|系统管理员|1769952823179|1769952981452|1625.03|123|1663.03|127|38.00|4||22.00|11.00|5.00|0.00
SHIFT20260203215028|admin|系统管理员|1770126628824|1770126628824|1663.03|127|1663.03|127|0.00|0||0.00|0.00|0.00|0.00
